Ward No.,Ward Name,Taluk,Hobli,Assembly Constituency[3],Lok Sabha Constituency[4],Area (km²)[5],Household (HH) - 2011,Population,Population_1,Popn density,Popn density_2,Popn growth rate (%) 2001 - 2011,HH growth rate (%) 2001 - 2011,BBMP Zone[6],BBMP Division,BBMP Sub-Division
149,Varthur,Bangalore East,Varthur,Mahadevapura,Bangalore Central,28.3,14256,25067,54625,886,1929,117.90,160.20,Mahadevapura,Mahadevapura,Whitefield
150,Bellandur,Bangalore East,Varthur,Mahadevapura,Bangalore Central,26.4,22368,20526,80180,778,3041,290.60,374.50,Mahadevapura,Mahadevapura,Marathahalli
151,Koramangala,Bangalore South,Begur,B.T.M Layout,Bangalore South,3.7,9719,35359,38316,9556,10323,8.40,17.10,South,BTM Layout,Koramangala
152,Suddaguntepalya,Bangalore South,Begur,B.T.M Layout,Bangalore South,1.7,10933,35910,39997,21124,23063,11.40,31.00,South,BTM Layout,BTM Layout
153,Jayanagar,Bangalore North,City Circle,Chickpet,Bangalore South,2.5,8427,35963,38151,14385,15288,6.10,17.80,South,Chickpet,Hombegowdanagar
154,Basavanagudi,Bangalore South,City Circle,Basavanagudi,Bangalore South,1.2,8624,36015,32640,30013,28071,-9.40,-2.70,South,Basavanagudi,Basavanagudi
155,Hanumanthanagar,Bangalore South,City Circle,Basavanagudi,Bangalore South,1.0,9483,35065,36982,35065,37440,5.50,13.10,South,Basavanagudi,Basavanagudi
156,Srinagar,Bangalore South,City Circle,Basavanagudi,Bangalore South,0.8,10574,36045,41379,45056,51685,14.80,22.70,South,Basavanagudi,Girinagar
157,Gali Anjaneya Temple,Bangalore North,City Circle,Vijay Nagar,Bangalore South,1.1,8668,27264,34653,24785,30439,27.10,36.70,South,Vijayanagar,Gali Anjaneya Temple
158,Deepanjalinagar,Bangalore North,City Circle,Vijay Nagar,Bangalore South,2.1,11676,30924,45928,14726,21980,48.50,59.50,South,Vijayanagar,Gali Anjaneya Temple
159,Kengeri,Bangalore South,Kengeri,Yeshvanthapura,Bangalore North,5.1,10168,24870,40771,4876,7980,63.90,74.40,Rajarajeshwarinagar,Kengeri,Kengeri
160,Rajarajeshwarinagar,Bangalore South,Kengeri,Rajarajeshwarinagar,Bangalore Rural,11.1,14408,23282,56897,2097,5112,144.40,160.90,Rajarajeshwarinagar,Rajarajeshwarinagar,Rajarajeshwarinagar
161,Hosakerehalli,Bangalore South,Uttarahalli,Padmanabhanagar,Bangalore South,1.3,12122,21185,46805,16296,34776,120.90,137.60,South,Padmanabhanagar,Padmanabhanagar
162,Girinagar,Bangalore South,Uttarahalli,Basavanagudi,Bangalore South,1.8,11180,34912,43195,19396,24537,23.70,33.40,South,Basavanagudi,Girinagar
163,Kathriguppe,Bangalore South,Uttarahalli,Basavanagudi,Bangalore South,1.1,11997,35736,45572,32487,41071,27.50,35.50,South,Basavanagudi,Girinagar
164,Vidyapeetha,Bangalore South,Uttarahalli,Basavanagudi,Bangalore South,1.2,11425,34535,43483,28779,35279,25.90,39.20,South,Basavanagudi,Basavanagudi
165,Ganesh Mandira,Bangalore South,City Circle,Padmanabhanagar,Bangalore South,1.6,6472,23101,25998,14438,15979,12.50,21.00,South,Padmanabhanagar,Padmanabhanagar
166,Karisandra,Bangalore South,Uttarahalli,Padmanabhanagar,Bangalore South,1.1,6492,30206,27040,27460,24444,-10.50,3.30,South,Padmanabhanagar,Banashankari
167,Yediyur,Bangalore South,City Circle,Padmanabhanagar,Bangalore South,1.2,8455,34591,32756,28826,26683,-5.30,3.70,South,Padmanabhanagar,Banashankari
168,Pattabhiramnagar,Bangalore South,City Circle,Jayanagar,Bangalore South,1.7,7163,30989,28353,18229,16438,-8.50,1.60,South,Jayanagar,Jayanagar
169,Byrasandra,Bangalore South,Uttarahalli,Jayanagar,Bangalore South,0.9,7423,30638,32066,34042,36971,4.70,15.10,South,Jayanagar,Jayanagar
170,Jayanagar East,Bangalore South,City Circle,Jayanagar,Bangalore South,1.0,7961,30846,33927,30846,32869,10.00,22.50,South,Jayanagar,Jayanagar
171,Gurappanapalya,Bangalore South,Begur,Jayanagar,Bangalore South,0.7,11517,35828,42624,51183,72068,36.70,53.90,South,Jayanagar,Jayanagar
